,CD8Tex,DC,B,pDC,Plasma,CD4Tnaive,M1,Fibroblasts,TMKI67,Monocyte
CD8Tex,-5.324768308045814,-4.906775930445154,-5.300991072140936,-5.032255327715479,-3.7129293922628954,-5.264645585419337,5.365184624168087,-5.137422351227144,-5.19880586144744,2.829893881996049
DC,-4.906775930445154,-3.5604823922258855,-5.294244153109111,3.183582888281138,-4.480926355206412,-4.942625910759411,5.334646909424957,4.9663806584690935,-5.005390362558286,3.1548985061055492
B,-5.300991072140936,-5.294244153109111,-5.240580016189752,-4.706854970153419,-4.883906808818024,-5.299494457848204,-2.4329723572242328,-4.804942165077487,-5.081428224682966,-5.133696722119257
pDC,-5.032255327715479,3.183582888281138,-4.706854970153419,1.660216668703307,-2.67193321904063,-4.958935001897509,5.2481229214764875,,-4.9707757200072535,2.9449668280503536
Plasma,-3.7129293922628954,-4.480926355206412,-4.883906808818024,-2.67193321904063,-3.7215194236188394,-4.493274544043473,-1.8210530774794198,-3.972722132653538,-4.407193763555815,-2.8465756568987794
CD4Tnaive,-5.264645585419337,-4.942625910759411,-5.299494457848204,-4.958935001897509,-4.493274544043473,-5.234216396881662,4.406756152917756,-5.136785087698973,-5.193540436211165,-3.435687634894562
M1,5.365184624168087,5.334646909424957,-2.4329723572242328,5.2481229214764875,-1.8210530774794198,4.406756152917756,5.39392827660169,5.395689889235588,4.761518097113821,5.362337419765734
Fibroblasts,-5.137422351227144,4.9663806584690935,-4.804942165077487,,-3.972722132653538,-5.136785087698973,5.395689889235588,3.4028008627485757,-5.081060193369261,4.928171672781586
TMKI67,-5.19880586144744,-5.005390362558286,-5.081428224682966,-4.9707757200072535,-4.407193763555815,-5.193540436211165,4.761518097113821,-5.081060193369261,-4.725832592660694,-2.8406449685733257
Monocyte,2.829893881996049,3.1548985061055492,-5.133696722119257,2.9449668280503536,-2.8465756568987794,-3.435687634894562,5.362337419765734,4.928171672781586,-2.8406449685733257,5.10587340185271
